id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
813400001015,"Grand Rapids City, Ward 1, Precinct 15",159,18,3
813400001016,"Grand Rapids City, Ward 1, Precinct 16",392,72,1
813400001017,"Grand Rapids City, Ward 1, Precinct 17",623,65,1
813400001018,"Grand Rapids City, Ward 1, Precinct 18",439,70,1
813400001019,"Grand Rapids City, Ward 1, Precinct 19",464,65,0
813400001020,"Grand Rapids City, Ward 1, Precinct 20",145,37,1
813400002021,"Grand Rapids City, Ward 2, Precinct 21",756,101,4
813400002022,"Grand Rapids City, Ward 2, Precinct 22",412,58,3
813400002023,"Grand Rapids City, Ward 2, Precinct 23",768,110,5
813400002024,"Grand Rapids City, Ward 2, Precinct 24",651,104,3
813400002025,"Grand Rapids City, Ward 2, Precinct 25",643,76,2
813400002026,"Grand Rapids City, Ward 2, Precinct 26",515,103,4
813400002027,"Grand Rapids City, Ward 2, Precinct 27",457,80,3
813400002028,"Grand Rapids City, Ward 2, Precinct 28",646,97,3
813400002029,"Grand Rapids City, Ward 2, Precinct 29",593,51,2
813400002030,"Grand Rapids City, Ward 2, Precinct 30",665,110,2
813400002031,"Grand Rapids City, Ward 2, Precinct 31",493,94,2
813400002032,"Grand Rapids City, Ward 2, Precinct 32",1024,169,3
813400002033,"Grand Rapids City, Ward 2, Precinct 33",696,79,4
813400002034,"Grand Rapids City, Ward 2, Precinct 34",556,61,1
813400002035,"Grand Rapids City, Ward 2, Precinct 35",586,102,3
813400002036,"Grand Rapids City, Ward 2, Precinct 36",916,111,2
813400002037,"Grand Rapids City, Ward 2, Precinct 37",542,76,1
813400002038,"Grand Rapids City, Ward 2, Precinct 38",488,58,1
813400002039,"Grand Rapids City, Ward 2, Precinct 39",601,64,1
813400002040,"Grand Rapids City, Ward 2, Precinct 40",681,119,4
813400003041,"Grand Rapids City, Ward 3, Precinct 41",311,40,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",620,69,0
813400003043,"Grand Rapids City, Ward 3, Precinct 43",702,62,2
813400003044,"Grand Rapids City, Ward 3, Precinct 44",828,84,6
813400003045,"Grand Rapids City, Ward 3, Precinct 45",619,70,2
813400003046,"Grand Rapids City, Ward 3, Precinct 46",692,69,7
813400003047,"Grand Rapids City, Ward 3, Precinct 47",678,101,5
813400003048,"Grand Rapids City, Ward 3, Precinct 48",575,57,2
813400003049,"Grand Rapids City, Ward 3, Precinct 49",457,74,2
813400003050,"Grand Rapids City, Ward 3, Precinct 50",316,53,0
813400003051,"Grand Rapids City, Ward 3, Precinct 51",324,44,3
813400003052,"Grand Rapids City, Ward 3, Precinct 52",420,53,7
813400003053,"Grand Rapids City, Ward 3, Precinct 53",451,73,7
813400003054,"Grand Rapids City, Ward 3, Precinct 54",586,48,1
813400003055,"Grand Rapids City, Ward 3, Precinct 55",479,71,7
813400003056,"Grand Rapids City, Ward 3, Precinct 56",1061,127,3
813400003057,"Grand Rapids City, Ward 3, Precinct 57",621,77,1
813400003058,"Grand Rapids City, Ward 3, Precinct 58",265,56,3
813400003059,"Grand Rapids City, Ward 3, Precinct 59",977,101,4
813416000001,"Grandville City, Precinct 1",365,57,1
813416000002,"Grandville City, Precinct 2",311,59,3
813416000003,"Grandville City, Precinct 3",334,44,0
813416000004,"Grandville City, Precinct 4",427,63,0
813416000005,"Grandville City, Precinct 5",400,54,1
813416000006,"Grandville City, Precinct 6",363,49,1
813456000001,"Grattan Township, Precinct 1",212,24,0
813456000002,"Grattan Township, Precinct 2",292,38,0
814282001001,"Kentwood City, Ward 1, Precinct 1",334,34,0
814282001002,"Kentwood City, Ward 1, Precinct 2",478,95,2
814282001003,"Kentwood City, Ward 1, Precinct 3",356,32,5
814282001004,"Kentwood City, Ward 1, Precinct 4",205,48,0
814282001005,"Kentwood City, Ward 1, Precinct 5",159,32,0
814282001006,"Kentwood City, Ward 1, Precinct 6",302,41,3
814282001007,"Kentwood City, Ward 1, Precinct 7",342,44,1
814282001008,"Kentwood City, Ward 1, Precinct 8",484,77,5
814282001009,"Kentwood City, Ward 1, Precinct 9",360,65,3
814282001017,"Kentwood City, Ward 1, Precinct 17",437,75,1
814282002010,"Kentwood City, Ward 2, Precinct 10",334,38,0
814282002011,"Kentwood City, Ward 2, Precinct 11",598,89,1
