id,name,Ryan Cushman,Terri DeBoer,Write-in
813400002027,"Grand Rapids City, Ward 2, Precinct 27",13,49,0
813400002028,"Grand Rapids City, Ward 2, Precinct 28",43,109,0
813400002029,"Grand Rapids City, Ward 2, Precinct 29",43,188,0
813400002030,"Grand Rapids City, Ward 2, Precinct 30",55,168,0
813400002031,"Grand Rapids City, Ward 2, Precinct 31",22,53,0
813400002032,"Grand Rapids City, Ward 2, Precinct 32",15,46,1
813400002033,"Grand Rapids City, Ward 2, Precinct 33",7,39,0
813400002034,"Grand Rapids City, Ward 2, Precinct 34",58,176,0
813400002035,"Grand Rapids City, Ward 2, Precinct 35",32,118,0
813400002036,"Grand Rapids City, Ward 2, Precinct 36",92,302,0
813400002037,"Grand Rapids City, Ward 2, Precinct 37",47,241,0
813400002038,"Grand Rapids City, Ward 2, Precinct 38",54,155,0
813400002039,"Grand Rapids City, Ward 2, Precinct 39",34,171,0
813400002040,"Grand Rapids City, Ward 2, Precinct 40",30,48,0
813400003041,"Grand Rapids City, Ward 3, Precinct 41",32,61,0
813400003042,"Grand Rapids City, Ward 3, Precinct 42",67,274,0
813400003043,"Grand Rapids City, Ward 3, Precinct 43",63,268,0
813400003044,"Grand Rapids City, Ward 3, Precinct 44",59,223,1
813400003045,"Grand Rapids City, Ward 3, Precinct 45",45,161,0
813400003046,"Grand Rapids City, Ward 3, Precinct 46",50,244,0
813400003047,"Grand Rapids City, Ward 3, Precinct 47",8,32,0
813400003048,"Grand Rapids City, Ward 3, Precinct 48",9,57,0
813400003049,"Grand Rapids City, Ward 3, Precinct 49",10,15,0
813400003050,"Grand Rapids City, Ward 3, Precinct 50",22,40,1
813400003051,"Grand Rapids City, Ward 3, Precinct 51",17,69,0
813400003052,"Grand Rapids City, Ward 3, Precinct 52",3,8,0
813400003053,"Grand Rapids City, Ward 3, Precinct 53",6,13,0
813400003054,"Grand Rapids City, Ward 3, Precinct 54",11,54,0
813400003055,"Grand Rapids City, Ward 3, Precinct 55",6,45,0
813400003056,"Grand Rapids City, Ward 3, Precinct 56",43,162,1
813400003057,"Grand Rapids City, Ward 3, Precinct 57",14,52,1
813400003058,"Grand Rapids City, Ward 3, Precinct 58",0,5,0
813400003059,"Grand Rapids City, Ward 3, Precinct 59",38,170,0
813416000001,"Grandville City, Precinct 1",73,198,0
813416000002,"Grandville City, Precinct 2",42,200,0
813416000003,"Grandville City, Precinct 3",93,246,0
813416000004,"Grandville City, Precinct 4",111,315,0
813416000005,"Grandville City, Precinct 5",95,340,0
813416000006,"Grandville City, Precinct 6",70,302,0
814282001001,"Kentwood City, Ward 1, Precinct 1",44,126,0
814282001002,"Kentwood City, Ward 1, Precinct 2",46,213,2
814282001003,"Kentwood City, Ward 1, Precinct 3",33,143,1
814282001004,"Kentwood City, Ward 1, Precinct 4",29,75,0
814282001005,"Kentwood City, Ward 1, Precinct 5",36,77,0
814282001006,"Kentwood City, Ward 1, Precinct 6",55,203,0
814282001007,"Kentwood City, Ward 1, Precinct 7",31,97,0
814282001008,"Kentwood City, Ward 1, Precinct 8",55,230,0
814282001009,"Kentwood City, Ward 1, Precinct 9",47,100,1
814282001017,"Kentwood City, Ward 1, Precinct 17",39,114,0
814282002010,"Kentwood City, Ward 2, Precinct 10",41,124,0
814282002011,"Kentwood City, Ward 2, Precinct 11",36,201,0
814282002012,"Kentwood City, Ward 2, Precinct 12",33,111,0
814282002013,"Kentwood City, Ward 2, Precinct 13",71,316,0
814282002014,"Kentwood City, Ward 2, Precinct 14",40,142,0
814282002015,"Kentwood City, Ward 2, Precinct 15",26,73,0
814282002016,"Kentwood City, Ward 2, Precinct 16",71,236,1
816466000001,"Plainfield Charter Township, Precinct 1",100,412,0
816466000002,"Plainfield Charter Township, Precinct 2",101,323,1
816466000003,"Plainfield Charter Township, Precinct 3",121,422,2
816466000004,"Plainfield Charter Township, Precinct 4",52,236,0
816466000006,"Plainfield Charter Township, Precinct 6",106,422,1
816466000007,"Plainfield Charter Township, Precinct 7",151,474,0
816466000008,"Plainfield Charter Township, Precinct 8",63,374,1
816466000009,"Plainfield Charter Township, Precinct 9",75,344,0
816466000010,"Plainfield Charter Township, Precinct 10",86,381,0
816466000011,"Plainfield Charter Township, Precinct 11",103,360,1
816908000001,"Rockford City, Precinct 1",41,218,0
816908000002,"Rockford City, Precinct 2",89,327,0
