id,name,Hillary Scholten,Write-in
813400001009,"Grand Rapids City, Ward 1, Precinct 9",337,8
813400001010,"Grand Rapids City, Ward 1, Precinct 10",342,8
813400001011,"Grand Rapids City, Ward 1, Precinct 11",520,12
813400001012,"Grand Rapids City, Ward 1, Precinct 12",294,2
813400001013,"Grand Rapids City, Ward 1, Precinct 13",269,9
813400001014,"Grand Rapids City, Ward 1, Precinct 14",476,9
813400001015,"Grand Rapids City, Ward 1, Precinct 15",164,5
813400001016,"Grand Rapids City, Ward 1, Precinct 16",408,9
813400001017,"Grand Rapids City, Ward 1, Precinct 17",630,6
813400001018,"Grand Rapids City, Ward 1, Precinct 18",450,6
813400001019,"Grand Rapids City, Ward 1, Precinct 19",493,2
813400001020,"Grand Rapids City, Ward 1, Precinct 20",161,5
813400002021,"Grand Rapids City, Ward 2, Precinct 21",748,13
813400002022,"Grand Rapids City, Ward 2, Precinct 22",446,6
813400002023,"Grand Rapids City, Ward 2, Precinct 23",789,20
813400002024,"Grand Rapids City, Ward 2, Precinct 24",666,19
813400002025,"Grand Rapids City, Ward 2, Precinct 25",641,13
813400002026,"Grand Rapids City, Ward 2, Precinct 26",538,18
813400002027,"Grand Rapids City, Ward 2, Precinct 27",470,11
813400002028,"Grand Rapids City, Ward 2, Precinct 28",685,9
813400002029,"Grand Rapids City, Ward 2, Precinct 29",587,10
813400002030,"Grand Rapids City, Ward 2, Precinct 30",706,6
813400002031,"Grand Rapids City, Ward 2, Precinct 31",514,9
813400002032,"Grand Rapids City, Ward 2, Precinct 32",1029,30
813400002033,"Grand Rapids City, Ward 2, Precinct 33",691,10
813400002034,"Grand Rapids City, Ward 2, Precinct 34",567,7
813400002035,"Grand Rapids City, Ward 2, Precinct 35",619,13
813400002036,"Grand Rapids City, Ward 2, Precinct 36",949,16
813400002037,"Grand Rapids City, Ward 2, Precinct 37",581,2
813400002038,"Grand Rapids City, Ward 2, Precinct 38",504,9
813400002039,"Grand Rapids City, Ward 2, Precinct 39",627,7
813400002040,"Grand Rapids City, Ward 2, Precinct 40",675,19
813400003041,"Grand Rapids City, Ward 3, Precinct 41",332,5
813400003042,"Grand Rapids City, Ward 3, Precinct 42",654,4
813400003043,"Grand Rapids City, Ward 3, Precinct 43",729,8
813400003044,"Grand Rapids City, Ward 3, Precinct 44",854,9
813400003045,"Grand Rapids City, Ward 3, Precinct 45",641,5
813400003046,"Grand Rapids City, Ward 3, Precinct 46",731,8
813400003047,"Grand Rapids City, Ward 3, Precinct 47",689,14
813400003048,"Grand Rapids City, Ward 3, Precinct 48",540,22
813400003049,"Grand Rapids City, Ward 3, Precinct 49",492,7
813400003050,"Grand Rapids City, Ward 3, Precinct 50",333,10
813400003051,"Grand Rapids City, Ward 3, Precinct 51",352,2
813400003052,"Grand Rapids City, Ward 3, Precinct 52",423,16
813400003053,"Grand Rapids City, Ward 3, Precinct 53",466,18
813400003054,"Grand Rapids City, Ward 3, Precinct 54",580,5
813400003055,"Grand Rapids City, Ward 3, Precinct 55",499,18
813400003056,"Grand Rapids City, Ward 3, Precinct 56",1039,15
813400003057,"Grand Rapids City, Ward 3, Precinct 57",620,6
813400003058,"Grand Rapids City, Ward 3, Precinct 58",289,10
813400003059,"Grand Rapids City, Ward 3, Precinct 59",1002,13
813416000001,"Grandville City, Precinct 1",397,6
813416000002,"Grandville City, Precinct 2",335,9
813416000003,"Grandville City, Precinct 3",356,4
813416000004,"Grandville City, Precinct 4",456,3
813416000005,"Grandville City, Precinct 5",426,4
813416000006,"Grandville City, Precinct 6",397,3
814282001001,"Kentwood City, Ward 1, Precinct 1",339,4
814282001002,"Kentwood City, Ward 1, Precinct 2",523,14
814282001003,"Kentwood City, Ward 1, Precinct 3",350,12
814282001004,"Kentwood City, Ward 1, Precinct 4",235,3
