id,name,total,over_votes,under_votes,Write-in,Haley Stevens,Abdul El-Sayed,Mallory McMorrow
495616000006,"Mundy Township, Precinct 6",192,,,0,87,93,12
495616000007,"Mundy Township, Precinct 7",276,,,0,147,120,9
496818000001,"Richfield Township, Precinct 1",956,,,0,522,376,58
496818000002,"Richfield Township, Precinct 2",382,,,0,190,170,22
497770000001,"City of Swartz Creek, Precinct 1",281,,,0,142,122,17
497770000002,"City of Swartz Creek, Precinct 2",266,,,0,111,139,16
497770000003,"City of Swartz Creek, Precinct 3",222,,,0,100,106,16
497770000004,"City of Swartz Creek, Precinct 4",393,,,0,243,137,13
497946000001,"Thetford Township, Precinct 1",381,,,0,241,124,16
497946000003,"Thetford Township, Precinct 2",435,,,0,277,136,22
498238000001,"Vienna Township, Precinct 1",444,,,0,283,139,22
498238000002,"Vienna Township, Precinct 2",410,,,0,213,178,19
498238000003,"Vienna Township, Precinct 3",378,,,0,197,162,19
498238000004,"Vienna Township, Precinct 4",372,,,0,223,133,16
498238000005,"Vienna Township, Precinct 5",287,,,0,171,99,17
