id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
496818000001,"Richfield Township, Precinct 1",894,,,4,890
496818000002,"Richfield Township, Precinct 2",346,,,6,340
497770000001,"City of Swartz Creek, Precinct 1",255,,,1,254
497770000002,"City of Swartz Creek, Precinct 2",252,,,1,251
497770000003,"City of Swartz Creek, Precinct 3",202,,,0,202
497770000004,"City of Swartz Creek, Precinct 4",357,,,0,357
497946000001,"Thetford Township, Precinct 1",342,,,2,340
497946000003,"Thetford Township, Precinct 2",393,,,2,391
498238000001,"Vienna Township, Precinct 1",406,,,1,405
498238000002,"Vienna Township, Precinct 2",371,,,3,368
498238000003,"Vienna Township, Precinct 3",350,,,4,346
498238000004,"Vienna Township, Precinct 4",336,,,0,336
498238000005,"Vienna Township, Precinct 5",272,,,0,272
