id,name,ballots,registered,turnout
1257490000015,"Southfield, Precinct 15",527,1498,35.18
1257490000016,"Southfield, Precinct 16",635,1637,38.79
1257490000017,"Southfield, Precinct 17",770,1911,40.29
1257490000018,"Southfield, Precinct 18",471,1883,25.01
1257490000019,"Southfield, Precinct 19",484,1568,30.87
1257490000020,"Southfield, Precinct 20",645,1870,34.49
1257490000021,"Southfield, Precinct 21",792,1937,40.89
1257490000022,"Southfield, Precinct 22",589,2068,28.48
1257490000023,"Southfield, Precinct 23",664,1942,34.19
1257490000024,"Southfield, Precinct 24",443,1769,25.04
1257490000025,"Southfield, Precinct 25",564,1468,38.42
1257490000026,"Southfield, Precinct 26",797,1911,41.71
1257490000027,"Southfield, Precinct 27",552,1833,30.11
1257490000028,"Southfield, Precinct 28",320,1762,18.16
1257490000029,"Southfield, Precinct 29",793,2224,35.66
1257490000030,"Southfield, Precinct 30",734,2119,34.64
1257490000031,"Southfield, Precinct 31",565,2044,27.64
1257490000032,"Southfield, Precinct 32",605,1512,40.01
1257490000033,"Southfield, Precinct 33",586,2013,29.11
1257490000034,"Southfield, Precinct 34",466,1609,28.96
1257490000035,"Southfield, Precinct 35",339,1448,23.41
1257490000036,"Southfield, Precinct 36",402,1641,24.50
1257786000001,"Sylvan Lake, Precinct 1",706,1485,47.54
1258070000001,"Troy, Precinct 1",1409,3508,40.17
1258070000002,"Troy, Precinct 2",910,2407,37.81
1258070000003,"Troy, Precinct 3",882,2343,37.64
1258070000004,"Troy, Precinct 4",660,1526,43.25
1258070000005,"Troy, Precinct 5",257,546,47.07
1258070000006,"Troy, Precinct 6",367,917,40.02
1258070000007,"Troy, Precinct 7",1529,3582,42.69
1258070000008,"Troy, Precinct 8",730,1954,37.36
1258070000009,"Troy, Precinct 9",1344,3194,42.08
1258070000010,"Troy, Precinct 10",993,2280,43.55
1258070000011,"Troy, Precinct 11",1031,2404,42.89
1258070000012,"Troy, Precinct 12",689,1636,42.11
1258070000013,"Troy, Precinct 13",1218,3015,40.40
1258070000014,"Troy, Precinct 14",895,2326,38.48
1258070000015,"Troy, Precinct 15",1597,3967,40.26
1258070000016,"Troy, Precinct 16",786,1953,40.25
1258070000017,"Troy, Precinct 17",891,2262,39.39
1258070000018,"Troy, Precinct 18",1046,2620,39.92
1258070000019,"Troy, Precinct 19",1286,3725,34.52
1258070000020,"Troy, Precinct 20",1059,2660,39.81
1258070000021,"Troy, Precinct 21",1124,2946,38.15
1258070000022,"Troy, Precinct 22",1180,3101,38.05
1258070000023,"Troy, Precinct 23",1088,3746,29.04
1258070000024,"Troy, Precinct 24",484,1987,24.36
1258070000025,"Troy, Precinct 25",243,612,39.71
1258070000026,"Troy, Precinct 26",659,2550,25.84
1258070000027,"Troy, Precinct 27",731,3091,23.65
1258306000001,"Walled Lake, Precinct 1",455,1982,22.96
1258306000002,"Walled Lake, Precinct 2",746,2172,34.35
1258306000003,"Walled Lake, Precinct 3",557,1635,34.07
1258814000001,"Wixom, Precinct 1",1102,2916,37.79
1258814000002,"Wixom, Precinct 2",1094,2947,37.12
1258814000003,"Wixom, Precinct 3",393,2517,15.61
1258814000004,"Wixom, Precinct 4",979,2844,34.42
