id,name,total,over_votes,under_votes,Write-in,Aisha Farooqi,Jeremy Moss,John Paul Torres,Don Ufford
1258070000011,"Troy, Precinct 11",424,,,0,157,193,40,34
1258070000012,"Troy, Precinct 12",292,,,0,133,112,16,31
1258070000013,"Troy, Precinct 13",538,,,0,270,220,25,23
1258070000014,"Troy, Precinct 14",341,,,0,116,168,25,32
1258070000015,"Troy, Precinct 15",596,,,0,210,255,70,61
1258070000016,"Troy, Precinct 16",300,,,0,120,121,18,41
1258070000017,"Troy, Precinct 17",337,,,0,116,163,19,39
1258070000018,"Troy, Precinct 18",434,,,0,111,240,42,41
1258070000019,"Troy, Precinct 19",506,,,0,154,243,60,49
1258070000020,"Troy, Precinct 20",361,,,0,141,157,23,40
1258070000021,"Troy, Precinct 21",417,,,0,136,222,27,32
1258070000022,"Troy, Precinct 22",483,,,0,251,189,21,22
1258070000023,"Troy, Precinct 23",415,,,0,190,151,47,27
1258070000024,"Troy, Precinct 24",201,,,0,74,86,12,29
1258070000025,"Troy, Precinct 25",96,,,0,40,49,3,4
1258070000026,"Troy, Precinct 26",256,,,1,112,92,26,25
1258070000027,"Troy, Precinct 27",277,,,0,111,99,44,23
1258306000001,"Walled Lake, Precinct 1",166,,,0,61,70,21,14
1258306000002,"Walled Lake, Precinct 2",230,,,0,68,117,27,18
1258306000003,"Walled Lake, Precinct 3",201,,,0,57,102,26,16
1258814000001,"Wixom, Precinct 1",283,,,0,62,164,30,27
1258814000002,"Wixom, Precinct 2",291,,,0,76,140,31,44
1258814000003,"Wixom, Precinct 3",99,,,1,51,35,8,4
1258814000004,"Wixom, Precinct 4",270,,,0,74,153,17,26
