id,name,total,over_votes,under_votes,Write-in,Christina Bertrand Hines,Eric Chung,Tim Greimel
997646000012,"Sterling Heights, Precinct 12",106,,,0,51,38,17
997646000013,"Sterling Heights, Precinct 13",127,,,4,41,55,27
997646000014,"Sterling Heights, Precinct 14",214,,,3,75,86,50
997646000015,"Sterling Heights, Precinct 15",111,,,0,48,48,15
997646000017,"Sterling Heights, Precinct 17",69,,,0,33,21,15
997646000018,"Sterling Heights, Precinct 18",80,,,1,36,30,13
997646000019,"Sterling Heights, Precinct 19",91,,,3,35,38,15
997646000020,"Sterling Heights, Precinct 20",120,,,0,63,43,14
997646000021,"Sterling Heights, Precinct 21",244,,,2,115,82,45
997646000022,"Sterling Heights, Precinct 22",105,,,1,45,44,15
997646000023,"Sterling Heights, Precinct 23",92,,,0,44,29,19
997646000025,"Sterling Heights, Precinct 25",53,,,0,12,30,11
997646000026,"Sterling Heights, Precinct 26",142,,,2,57,63,20
997646000027,"Sterling Heights, Precinct 27",84,,,1,33,33,17
997646000028,"Sterling Heights, Precinct 28",94,,,1,47,36,10
997646000029,"Sterling Heights, Precinct 29",86,,,1,45,33,7
997646000030,"Sterling Heights, Precinct 30",121,,,0,40,55,26
997646000031,"Sterling Heights, Precinct 31",137,,,0,62,43,32
997646000032,"Sterling Heights, Precinct 32",118,,,1,53,38,26
997646000033,"Sterling Heights, Precinct 33",86,,,2,30,42,12
997646000034,"Sterling Heights, Precinct 34",146,,,0,68,41,37
997646000035,"Sterling Heights, Precinct 35",169,,,4,87,58,20
997646000036,"Sterling Heights, Precinct 36",163,,,0,92,43,28
997646000037,"Sterling Heights, Precinct 37",125,,,0,63,36,26
997646000038,"Sterling Heights, Precinct 38",173,,,2,67,78,26
997646000039,"Sterling Heights, Precinct 39",147,,,4,50,73,20
997646000040,"Sterling Heights, Precinct 40",203,,,3,91,71,38
997646000042,"Sterling Heights, Precinct 42",168,,,1,78,71,18
997646000043,"Sterling Heights, Precinct 43",224,,,6,94,86,38
998154000001,"Utica, Precinct 1",241,,,4,122,70,45
998400001001,"Warren, Precinct 1",198,,,3,100,60,35
998400002002,"Warren, Precinct 2",161,,,3,54,59,45
998400002003,"Warren, Precinct 3",210,,,2,83,66,59
998400001004,"Warren, Precinct 4",156,,,1,74,50,31
998400001005,"Warren, Precinct 5",226,,,5,79,93,49
998400005006,"Warren, Precinct 6",95,,,0,52,26,17
998400005007,"Warren, Precinct 7",91,,,1,46,30,14
998400005008,"Warren, Precinct 8",94,,,0,45,37,12
998400003009,"Warren, Precinct 9",124,,,0,66,32,26
998400003010,"Warren, Precinct 10",2,,,0,0,2,0
998400005011,"Warren, Precinct 11",76,,,1,33,33,9
998400005012,"Warren, Precinct 12",36,,,0,18,15,3
998400003013,"Warren, Precinct 13",166,,,1,90,51,24
998400004014,"Warren, Precinct 14",75,,,0,37,30,8
998400004015,"Warren, Precinct 15",83,,,0,31,32,20
998400004016,"Warren, Precinct 16",75,,,0,37,28,10
998400005017,"Warren, Precinct 17",29,,,1,7,14,7
998400002018,"Warren, Precinct 18",233,,,4,109,59,61
998400002019,"Warren, Precinct 19",169,,,3,68,64,34
998400005020,"Warren, Precinct 20",161,,,1,68,74,18
998400005021,"Warren, Precinct 21",160,,,1,71,58,30
998400003022,"Warren, Precinct 22",68,,,1,38,26,3
998400004023,"Warren, Precinct 23",115,,,0,51,46,18
998400004024,"Warren, Precinct 24",85,,,0,39,30,16
998400004025,"Warren, Precinct 25",125,,,4,67,36,18
998400003026,"Warren, Precinct 26",129,,,1,68,46,14
998400003027,"Warren, Precinct 27",187,,,1,107,58,21
998400004028,"Warren, Precinct 28",177,,,2,97,63,15
998400003029,"Warren, Precinct 29",164,,,0,69,65,30
998400004030,"Warren, Precinct 30",175,,,1,88,62,24
998400001031,"Warren, Precinct 31",175,,,3,86,58,28
998400002032,"Warren, Precinct 32",213,,,3,103,71,36
998400002033,"Warren, Precinct 33",113,,,1,57,45,10
998400001034,"Warren, Precinct 34",148,,,3,65,63,17
998400001035,"Warren, Precinct 35",124,,,2,42,67,13
998400002036,"Warren, Precinct 36",162,,,1,72,61,28
998400005037,"Warren, Precinct 37",253,,,6,141,82,24
998400005038,"Warren, Precinct 38",214,,,4,86,69,55
998400005039,"Warren, Precinct 39",129,,,0,61,42,26
998400002040,"Warren, Precinct 40",189,,,0,75,89,25
998400001041,"Warren, Precinct 41",152,,,4,52,58,38
998400001042,"Warren, Precinct 42",285,,,3,156,84,42
998400002043,"Warren, Precinct 43",128,,,1,87,25,15
998400003044,"Warren, Precinct 44",156,,,2,80,49,25
998400004045,"Warren, Precinct 45",157,,,2,82,54,19
998400003046,"Warren, Precinct 46",174,,,0,106,50,18
998400004047,"Warren, Precinct 47",94,,,1,52,29,12
998400003048,"Warren, Precinct 48",122,,,3,62,31,26
998400003049,"Warren, Precinct 49",109,,,1,53,45,10
998400002050,"Warren, Precinct 50",158,,,2,81,56,19
998400001051,"Warren, Precinct 51",95,,,2,38,36,19
998400001052,"Warren, Precinct 52",139,,,0,62,50,27
998400004053,"Warren, Precinct 53",189,,,5,91,68,25
991652000001,"Clinton Township, Precinct 1",202,,,0,63,51,88
991652000002,"Clinton Township, Precinct 2",182,,,2,83,64,33
991652000003,"Clinton Township, Precinct 3",205,,,3,85,76,41
991652000004,"Clinton Township, Precinct 4",192,,,1,92,60,39
991652000005,"Clinton Township, Precinct 5",190,,,1,85,71,33
991652000006,"Clinton Township, Precinct 6",179,,,1,66,53,59
991652000007,"Clinton Township, Precinct 7",120,,,0,53,52,15
991652000008,"Clinton Township, Precinct 8",209,,,4,102,85,18
991652000009,"Clinton Township, Precinct 9",203,,,1,88,91,23
991652000010,"Clinton Township, Precinct 10",217,,,0,105,83,29
991652000011,"Clinton Township, Precinct 11",214,,,0,101,85,28
991652000012,"Clinton Township, Precinct 12",242,,,0,124,80,38
991652000013,"Clinton Township, Precinct 13",237,,,3,116,84,34
991652000014,"Clinton Township, Precinct 14",224,,,0,124,69,31
991652000015,"Clinton Township, Precinct 15",297,,,4,118,140,35
991652000016,"Clinton Township, Precinct 16",266,,,2,126,92,46
991652000017,"Clinton Township, Precinct 17",208,,,2,108,80,18
991652000018,"Clinton Township, Precinct 18",264,,,5,86,146,27
993682000001,"Harrison Township, Precinct 1",203,,,1,109,68,25
993682000002,"Harrison Township, Precinct 2",132,,,1,70,47,14
993682000003,"Harrison Township, Precinct 3",140,,,0,65,50,25
993682000004,"Harrison Township, Precinct 4",247,,,1,140,62,44
993682000005,"Harrison Township, Precinct 5",198,,,3,106,53,36
993682000006,"Harrison Township, Precinct 6",80,,,0,43,24,13
995048000001,"Macomb Township, Precinct 1",173,,,3,88,48,34
995048000002,"Macomb Township, Precinct 2",168,,,3,80,59,26
995048000007,"Macomb Township, Precinct 7",149,,,2,58,65,24
995048000008,"Macomb Township, Precinct 8",158,,,0,76,49,33
995048000011,"Macomb Township, Precinct 11",116,,,1,59,35,21
997282000001,"Shelby Charter Township, Precinct 1",114,,,1,40,60,13
997282000002,"Shelby Charter Township, Precinct 2",160,,,0,64,55,41
997282000003,"Shelby Charter Township, Precinct 3",171,,,0,65,77,29
997282000004,"Shelby Charter Township, Precinct 4",145,,,1,68,54,22
997282000005,"Shelby Charter Township, Precinct 5",171,,,2,72,58,39
997282000006,"Shelby Charter Township, Precinct 6",175,,,0,84,69,22
997282000007,"Shelby Charter Township, Precinct 7",87,,,1,35,36,15
997282000008,"Shelby Charter Township, Precinct 8",110,,,1,58,39,12
997282000009,"Shelby Charter Township, Precinct 9",157,,,0,78,57,22
997282000010,"Shelby Charter Township, Precinct 10",100,,,1,49,39,11
997282000011,"Shelby Charter Township, Precinct 11",44,,,1,22,14,7
997282000012,"Shelby Charter Township, Precinct 12",219,,,0,100,74,45
997282000013,"Shelby Charter Township, Precinct 13",157,,,1,61,62,33
997282000014,"Shelby Charter Township, Precinct 14",177,,,0,67,69,41
997282000015,"Shelby Charter Township, Precinct 15",108,,,0,55,35,18
997282000016,"Shelby Charter Township, Precinct 16",91,,,1,43,34,13
997282000017,"Shelby Charter Township, Precinct 17",116,,,2,56,33,25
997282000018,"Shelby Charter Township, Precinct 18",110,,,4,59,28,19
997282000019,"Shelby Charter Township, Precinct 19",99,,,1,45,33,20
997282000020,"Shelby Charter Township, Precinct 20",92,,,1,36,25,30
