id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
997282000009,"Shelby Charter Township, Precinct 9",349,,,0,233,54,44,18
997282000010,"Shelby Charter Township, Precinct 10",368,,,1,278,63,13,13
997282000011,"Shelby Charter Township, Precinct 11",187,,,0,119,37,16,15
997282000012,"Shelby Charter Township, Precinct 12",492,,,0,332,94,47,19
997282000013,"Shelby Charter Township, Precinct 13",382,,,1,307,48,19,7
997282000014,"Shelby Charter Township, Precinct 14",473,,,1,352,74,23,23
997282000015,"Shelby Charter Township, Precinct 15",391,,,1,271,81,16,22
997282000016,"Shelby Charter Township, Precinct 16",201,,,0,135,38,21,7
997282000017,"Shelby Charter Township, Precinct 17",234,,,0,181,23,16,14
997282000018,"Shelby Charter Township, Precinct 18",248,,,0,169,49,11,19
997282000019,"Shelby Charter Township, Precinct 19",342,,,1,214,75,36,16
997282000020,"Shelby Charter Township, Precinct 20",430,,,0,328,73,17,12
