id,name,total,over_votes,under_votes,Write-in,Haley Stevens,Abdul El-Sayed,Mallory McMorrow
991652000007,"Clinton Township, Precinct 7",128,,,0,47,80,1
991652000008,"Clinton Township, Precinct 8",235,,,0,94,136,5
991652000009,"Clinton Township, Precinct 9",220,,,1,87,127,5
991652000010,"Clinton Township, Precinct 10",243,,,0,82,156,5
991652000011,"Clinton Township, Precinct 11",235,,,0,96,137,2
991652000012,"Clinton Township, Precinct 12",255,,,0,106,145,4
991652000013,"Clinton Township, Precinct 13",253,,,1,95,146,11
991652000014,"Clinton Township, Precinct 14",242,,,0,77,161,4
991652000015,"Clinton Township, Precinct 15",308,,,0,106,197,5
991652000016,"Clinton Township, Precinct 16",286,,,1,123,149,13
991652000017,"Clinton Township, Precinct 17",217,,,0,79,135,3
991652000018,"Clinton Township, Precinct 18",277,,,0,150,117,10
993682000001,"Harrison Township, Precinct 1",226,,,1,89,129,7
993682000002,"Harrison Township, Precinct 2",149,,,0,62,85,2
993682000003,"Harrison Township, Precinct 3",157,,,0,50,104,3
993682000004,"Harrison Township, Precinct 4",272,,,0,112,150,10
993682000005,"Harrison Township, Precinct 5",210,,,0,81,127,2
993682000006,"Harrison Township, Precinct 6",95,,,0,41,51,3
994690000001,"Lenox Township, Precinct 1",53,,,0,25,25,3
994690000002,"Lenox Township, Precinct 2",113,,,0,45,67,1
994690000003,"Lenox Township, Precinct 3",195,,,0,66,117,12
994690000004,"Lenox Township, Precinct 4",106,,,0,31,73,2
995048000001,"Macomb Township, Precinct 1",193,,,0,72,116,5
995048000002,"Macomb Township, Precinct 2",185,,,0,80,100,5
995048000003,"Macomb Township, Precinct 3",194,,,1,60,130,3
995048000004,"Macomb Township, Precinct 4",164,,,0,64,97,3
995048000005,"Macomb Township, Precinct 5",299,,,0,117,174,8
995048000006,"Macomb Township, Precinct 6",96,,,0,37,54,5
995048000007,"Macomb Township, Precinct 7",161,,,0,57,102,2
995048000008,"Macomb Township, Precinct 8",182,,,0,67,109,6
995048000009,"Macomb Township, Precinct 9",234,,,0,84,148,2
995048000010,"Macomb Township, Precinct 10",175,,,0,73,102,0
995048000011,"Macomb Township, Precinct 11",132,,,0,48,81,3
995048000012,"Macomb Township, Precinct 12",76,,,0,22,53,1
995048000013,"Macomb Township, Precinct 13",124,,,0,45,76,3
995048000014,"Macomb Township, Precinct 14",222,,,0,86,132,4
995048000015,"Macomb Township, Precinct 15",278,,,0,108,157,13
995048000016,"Macomb Township, Precinct 16",61,,,0,22,39,0
995048000017,"Macomb Township, Precinct 17",78,,,0,33,43,2
995048000018,"Macomb Township, Precinct 18",121,,,0,51,70,0
995048000019,"Macomb Township, Precinct 19",140,,,0,59,78,3
995048000020,"Macomb Township, Precinct 20",110,,,0,27,81,2
995048000021,"Macomb Township, Precinct 21",111,,,0,40,71,0
995048000022,"Macomb Township, Precinct 22",96,,,0,31,62,3
995048000023,"Macomb Township, Precinct 23",57,,,0,23,31,3
995048000024,"Macomb Township, Precinct 24",63,,,0,33,29,1
996742000001,"Ray Township, Precinct 1",52,,,0,17,34,1
996742000002,"Ray Township, Precinct 2",72,,,0,24,46,2
996840000001,"Richmond Township, Precinct 1",132,,,0,76,48,8
996840000002,"Richmond Township, Precinct 2",164,,,0,94,64,6
997282000001,"Shelby Charter Township, Precinct 1",126,,,0,32,91,3
997282000002,"Shelby Charter Township, Precinct 2",173,,,0,68,101,4
997282000003,"Shelby Charter Township, Precinct 3",181,,,0,72,106,3
997282000004,"Shelby Charter Township, Precinct 4",162,,,0,77,82,3
997282000005,"Shelby Charter Township, Precinct 5",186,,,1,55,125,5
997282000006,"Shelby Charter Township, Precinct 6",184,,,0,47,133,4
997282000007,"Shelby Charter Township, Precinct 7",97,,,0,24,69,4
997282000008,"Shelby Charter Township, Precinct 8",118,,,0,44,72,2
997282000009,"Shelby Charter Township, Precinct 9",167,,,0,62,104,1
997282000010,"Shelby Charter Township, Precinct 10",110,,,0,33,74,3
997282000011,"Shelby Charter Township, Precinct 11",51,,,0,17,32,2
997282000012,"Shelby Charter Township, Precinct 12",241,,,0,84,153,4
997282000013,"Shelby Charter Township, Precinct 13",176,,,0,69,105,2
997282000014,"Shelby Charter Township, Precinct 14",188,,,0,78,102,8
997282000015,"Shelby Charter Township, Precinct 15",122,,,0,54,66,2
997282000016,"Shelby Charter Township, Precinct 16",98,,,0,36,60,2
997282000017,"Shelby Charter Township, Precinct 17",126,,,0,39,85,2
997282000018,"Shelby Charter Township, Precinct 18",120,,,0,36,79,5
997282000019,"Shelby Charter Township, Precinct 19",112,,,0,48,60,4
997282000020,"Shelby Charter Township, Precinct 20",104,,,0,44,56,4
998412000001,"Washington Township, Precinct 1",182,,,0,52,129,1
998412000002,"Washington Township, Precinct 2",104,,,0,39,64,1
998412000003,"Washington Township, Precinct 3",103,,,0,45,58,0
998412000004,"Washington Township, Precinct 4",120,,,0,44,75,1
998412000005,"Washington Township, Precinct 5",119,,,0,47,71,1
998412000006,"Washington Township, Precinct 6",160,,,0,60,96,4
998412000007,"Washington Township, Precinct 7",113,,,0,44,69,0
