name,ballots,T. P. Nykoriak,Write-in,id
"City of Detroit, Precinct 89",102,0,0,1632200003089
"City of Detroit, Precinct 9",128,3,0,1632200004009
"City of Detroit, Precinct 90",77,0,0,1632200003090
"City of Detroit, Precinct 91",169,2,0,1632200003091
"City of Detroit, Precinct 92",196,14,0,1632200003092
"City of Detroit, Precinct 93",58,1,0,1632200003093
"City of Detroit, Precinct 94",151,1,1,1632200003094
"City of Detroit, Precinct 95",157,10,0,1632200003095
"City of Detroit, Precinct 97",78,0,0,1632200003097
"City of Detroit, Precinct 98",109,4,0,1632200003098
"City of Ecorse, Precinct 1",107,14,2,1632474000001
"City of Ecorse, Precinct 2",199,13,1,1632474000002
"City of Ecorse, Precinct 3",53,11,0,1632474000003
"City of Ecorse, Precinct 4",188,3,0,1632474000004
"City of Grosse Pointe Farms, Precinct 1",1202,393,2,1633552000001
"City of Grosse Pointe Farms, Precinct 2",1232,310,11,1633552000002
"City of Grosse Pointe Park, Precinct 1",444,65,2,1633554000001
"City of Grosse Pointe Park, Precinct 2",480,97,0,1633554000002
"City of Grosse Pointe Park, Precinct 4",445,76,4,1633554000004
"City of Grosse Pointe Park, Precinct 5",407,54,1,1633554000005
"City of Grosse Pointe Park, Precinct 6",426,71,5,1633554000006
"City of Grosse Pointe Park, Precinct 7",460,76,9,1633554000007
"City of Grosse Pointe Woods, Precinct 1",1464,405,7,1633558000001
"City of Grosse Pointe Woods, Precinct 2",1342,356,5,1633558000002
"City of Grosse Pointe Woods, Precinct 3",1518,400,3,1633558000003
"City of Grosse Pointe, Precinct 1",632,133,2,1633548000001
"City of Grosse Pointe, Precinct 2",674,140,5,1633548000002
"City of Hamtramck, Precinct 1",164,7,0,1633628000001
"City of Hamtramck, Precinct 2",679,22,0,1633628000002
"City of Hamtramck, Precinct 3",690,40,0,1633628000003
"City of Hamtramck, Precinct 4",310,21,0,1633628000004
"City of Hamtramck, Precinct 5",233,11,0,1633628000005
"City of Harper Woods, Precinct 1",383,34,0,1633670000001
"City of Harper Woods, Precinct 2",616,47,0,1633670000002
"City of Harper Woods, Precinct 3",849,98,1,1633670000003
"City of Highland Park, Precinct 1",140,1,0,1633818000001
"City of Highland Park, Precinct 2",196,2,0,1633818000002
"City of Highland Park, Precinct 3",176,4,0,1633818000003
"City of Highland Park, Precinct 4",154,3,0,1633818000004
"City of Highland Park, Precinct 5",73,3,0,1633818000005
"City of Highland Park, Precinct 6",94,1,0,1633818000006
"City of Lincoln Park, Precinct 1",590,115,2,1634780000001
"City of Lincoln Park, Precinct 11",785,198,2,1634780000011
"City of Lincoln Park, Precinct 3",545,82,1,1634780000003
"City of Lincoln Park, Precinct 5",678,155,2,1634780000005
