name,ballots,James D. Hooper,Write-in,id
"City of Detroit, Precinct 319",60,1,0,1632200001319
"City of Detroit, Precinct 320",87,4,0,1632200001320
"City of Detroit, Precinct 321",65,2,0,1632200001321
"City of Detroit, Precinct 323",232,4,0,1632200001323
"City of Detroit, Precinct 324",195,5,0,1632200001324
"City of Detroit, Precinct 325",108,3,0,1632200001325
"City of Detroit, Precinct 326",264,7,0,1632200001326
"City of Detroit, Precinct 328",73,2,0,1632200001328
"City of Detroit, Precinct 329",41,1,0,1632200001329
"City of Detroit, Precinct 330",94,2,0,1632200007330
"City of Detroit, Precinct 331",115,2,0,1632200007331
"City of Detroit, Precinct 333",56,1,0,1632200007333
"City of Detroit, Precinct 334",43,2,0,1632200007334
"City of Detroit, Precinct 335",65,2,0,1632200007335
"City of Detroit, Precinct 336",141,11,0,1632200007336
"City of Detroit, Precinct 337",89,7,0,1632200007337
"City of Detroit, Precinct 338",123,10,1,1632200007338
"City of Detroit, Precinct 339",44,0,0,1632200007339
"City of Detroit, Precinct 340",31,2,0,1632200007340
"City of Detroit, Precinct 341",90,2,0,1632200007341
"City of Detroit, Precinct 342",103,3,0,1632200007342
"City of Detroit, Precinct 343",135,11,0,1632200007343
"City of Detroit, Precinct 344",96,2,1,1632200007344
"City of Detroit, Precinct 345",111,2,0,1632200007345
"City of Detroit, Precinct 346",88,4,0,1632200007346
"City of Detroit, Precinct 347",117,1,0,1632200007347
"City of Detroit, Precinct 348",72,0,0,1632200007348
"City of Detroit, Precinct 349",119,3,0,1632200007349
"City of Detroit, Precinct 350",30,1,1,1632200001350
"City of Detroit, Precinct 351",65,1,0,1632200001351
"City of Detroit, Precinct 352",94,3,0,1632200001352
"City of Detroit, Precinct 353",17,1,0,1632200007353
"City of Detroit, Precinct 355",109,5,0,1632200007355
"City of Detroit, Precinct 356",61,0,0,1632200007356
"City of Detroit, Precinct 357",94,3,0,1632200001357
"City of Detroit, Precinct 359",152,0,0,1632200001359
"City of Detroit, Precinct 361",175,3,0,1632200001361
"City of Detroit, Precinct 362",28,0,0,1632200001362
"City of Detroit, Precinct 363",79,1,0,1632200007363
"City of Detroit, Precinct 364",63,2,0,1632200007364
"City of Detroit, Precinct 365",70,0,0,1632200007365
"City of Detroit, Precinct 368",79,2,0,1632200007368
"City of Detroit, Precinct 369",151,8,0,1632200007369
"City of Detroit, Precinct 370",48,3,0,1632200007370
"City of Detroit, Precinct 371",83,0,0,1632200007371
"City of Detroit, Precinct 373",58,4,0,1632200007373
"City of Detroit, Precinct 374",75,0,0,1632200007374
"City of Detroit, Precinct 375",105,8,0,1632200007375
"City of Detroit, Precinct 376",102,2,0,1632200007376
"City of Detroit, Precinct 377",103,8,0,1632200007377
"City of Detroit, Precinct 378",96,1,0,1632200001378
"City of Detroit, Precinct 379",148,3,0,1632200001379
"City of Detroit, Precinct 380",50,3,0,1632200007380
"City of Detroit, Precinct 381",110,4,0,1632200007381
"City of Detroit, Precinct 383",80,2,0,1632200002383
"City of Detroit, Precinct 384",120,5,2,1632200002384
"City of Detroit, Precinct 385",88,2,0,1632200002385
"City of Detroit, Precinct 389",66,0,0,1632200002389
"City of Detroit, Precinct 391",0,0,0,1632200007391
"City of Detroit, Precinct 392",62,2,0,1632200007392
"City of Detroit, Precinct 393",43,4,0,1632200007393
"City of Detroit, Precinct 394",52,2,0,1632200007394
"City of Detroit, Precinct 395",51,0,0,1632200007395
"City of Detroit, Precinct 403",139,0,1,1632200002403
"City of Detroit, Precinct 404",35,0,0,1632200007404
"City of Detroit, Precinct 406",61,0,0,1632200007406
"City of Detroit, Precinct 407",15,0,1,1632200007407
"City of Detroit, Precinct 408",54,0,0,1632200007408
"City of Detroit, Precinct 410",124,5,0,1632200007410
"City of Detroit, Precinct 411",108,3,0,1632200007411
"City of Detroit, Precinct 413",196,4,0,1632200007413
"City of Detroit, Precinct 495",130,2,0,1632200001495
"City of Detroit, Precinct 501",58,3,0,1632200001501
"City of Garden City, Precinct 1",353,130,2,1633142000001
"City of Garden City, Precinct 2",277,112,0,1633142000002
"City of Garden City, Precinct 3",308,111,2,1633142000003
"City of Garden City, Precinct 4",167,62,0,1633142000004
"City of Garden City, Precinct 5",215,86,0,1633142000005
"City of Garden City, Precinct 6",298,124,2,1633142000006
"City of Garden City, Precinct 7",243,84,0,1633142000007
"City of Garden City, Precinct 8",413,133,0,1633142000008
"City of Garden City, Precinct 9",246,85,1,1633142000009
"City of Garden City, Precinct 10",216,70,0,1633142000010
"City of Inkster, District 1 Precinct 1",78,2,0,1634068001001
