name,ballots,T. P. Nykoriak,Write-in,id
"City of Detroit, Precinct 458",62,1,0,1632200006458
"City of Detroit, Precinct 460",101,9,0,1632200006460
"City of Detroit, Precinct 461",269,9,0,1632200006461
"City of Detroit, Precinct 462",179,3,1,1632200006462
"City of Detroit, Precinct 464",277,5,0,1632200006464
"City of Detroit, Precinct 466",120,2,0,1632200006466
"City of Detroit, Precinct 470",138,11,0,1632200006470
"City of Detroit, Precinct 471",123,10,0,1632200006471
"City of Detroit, Precinct 472",117,16,0,1632200006472
"City of Detroit, Precinct 473",168,12,0,1632200006473
"City of Detroit, Precinct 474",47,7,0,1632200006474
"City of Detroit, Precinct 475",137,4,0,1632200006475
"City of Detroit, Precinct 477",194,26,0,1632200006477
"City of Detroit, Precinct 479",56,2,0,1632200006479
"City of Detroit, Precinct 480",103,12,0,1632200006480
"City of Detroit, Precinct 481",164,4,0,1632200006481
"City of Detroit, Precinct 482",115,2,0,1632200006482
"City of Detroit, Precinct 483",153,5,0,1632200006483
"City of Detroit, Precinct 484",105,2,1,1632200006484
"City of Detroit, Precinct 485",140,0,0,1632200006485
"City of Detroit, Precinct 490",5,1,0,1632200002490
"City of Detroit, Precinct 491",55,2,0,1632200004491
"City of Detroit, Precinct 493",48,1,0,1632200005493
"City of Detroit, Precinct 496",129,3,0,1632200005496
"City of Detroit, Precinct 497",65,0,0,1632200005497
"City of Detroit, Precinct 500",130,4,0,1632200006500
"City of Detroit, Precinct 502",56,2,0,1632200004502
"City of Ecorse, Precinct 1",107,25,1,1632474000001
"City of Ecorse, Precinct 2",202,8,0,1632474000002
"City of Ecorse, Precinct 3",92,21,0,1632474000003
"City of Ecorse, Precinct 4",180,7,0,1632474000004
"City of Grosse Pointe, Precinct 1",292,62,2,1633548000001
"City of Grosse Pointe, Precinct 2",401,98,1,1633548000002
"City of Grosse Pointe Farms, Precinct 1",643,184,2,1633552000001
"City of Grosse Pointe Farms, Precinct 2",659,183,2,1633552000002
"City of Grosse Pointe Park, Precinct 1",265,42,0,1633554000001
"City of Grosse Pointe Park, Precinct 2",259,54,3,1633554000002
"City of Grosse Pointe Park, Precinct 4",212,38,0,1633554000004
"City of Grosse Pointe Park, Precinct 5",331,41,1,1633554000005
"City of Grosse Pointe Park, Precinct 6",260,34,0,1633554000006
"City of Grosse Pointe Park, Precinct 7",278,54,0,1633554000007
"The Village of Grosse Pointe Shores, a Michigan City, Precinct 1",298,118,3,1638245300001
"City of Grosse Pointe Woods, Precinct 1",656,166,8,1633558000001
"City of Grosse Pointe Woods, Precinct 2",572,152,4,1633558000002
"City of Grosse Pointe Woods, Precinct 3",669,149,5,1633558000003
"City of Hamtramck, Precinct 1",155,6,0,1633628000001
"City of Hamtramck, Precinct 2",439,18,0,1633628000002
"City of Hamtramck, Precinct 3",380,13,1,1633628000003
"City of Hamtramck, Precinct 4",283,16,2,1633628000004
"City of Hamtramck, Precinct 5",264,9,1,1633628000005
"City of Harper Woods, Precinct 1",390,35,1,1633670000001
