name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Detroit, Precinct 27",9,1,0,7,0,1632200004027.0
"City of Detroit, Precinct 29",1,1,0,0,0,1632200004029.0
"City of Detroit, Precinct 32",27,15,0,11,0,1632200004032.0
"City of Detroit, Precinct 33",5,2,0,2,0,1632200004033.0
"City of Detroit, Precinct 34",30,13,1,12,0,1632200004034.0
"City of Detroit, Precinct 35",10,4,1,5,0,1632200004035.0
"City of Detroit, Precinct 36",12,2,0,9,1,1632200004036.0
"City of Detroit, Precinct 38",3,1,0,2,0,1632200004038.0
"City of Detroit, Precinct 39",6,1,0,5,0,1632200004039.0
"City of Detroit, Precinct 40",5,0,0,5,0,1632200004040.0
"City of Detroit, Precinct 41",2,0,0,2,0,1632200004041.0
"City of Detroit, Precinct 43",5,1,0,4,0,1632200004043.0
"City of Detroit, Precinct 44",7,0,0,7,0,1632200004044.0
"City of Detroit, Precinct 45",5,3,0,2,0,1632200004045.0
"City of Detroit, Precinct 46",4,1,0,3,0,1632200004046.0
"City of Detroit, Precinct 47",10,4,0,5,0,1632200004047.0
"City of Detroit, Precinct 49",6,1,0,3,0,1632200004049.0
"City of Detroit, Precinct 50",4,2,0,2,0,1632200004050.0
"City of Detroit, Precinct 51",2,0,0,2,0,1632200004051.0
"City of Detroit, Precinct 52",7,2,0,5,0,1632200004052.0
"City of Detroit, Precinct 53",8,3,1,3,0,1632200004053.0
"City of Detroit, Precinct 55",6,0,0,5,0,1632200004055.0
"City of Detroit, Precinct 56",3,2,0,1,0,1632200004056.0
"City of Detroit, Precinct 59",0,0,0,0,0,1632200003059.0
"City of Detroit, Precinct 60",0,0,0,0,0,1632200007060.0
"City of Detroit, Precinct 61",16,5,1,10,0,1632200003061.0
"City of Detroit, Precinct 62",19,5,3,5,0,1632200003062.0
"City of Detroit, Precinct 64",2,0,1,1,0,1632200003064.0
"City of Detroit, Precinct 65",2,1,0,1,0,1632200003065.0
"City of Detroit, Precinct 66",5,1,0,4,0,1632200003066.0
"City of Detroit, Precinct 68",21,2,2,15,0,1632200003068.0
"City of Detroit, Precinct 69",1,0,0,1,0,1632200006069.0
"City of Detroit, Precinct 70",1,0,1,0,0,1632200003070.0
"City of Detroit, Precinct 71",5,1,0,4,0,1632200003071.0
"City of Detroit, Precinct 72",3,0,0,3,0,1632200003072.0
"City of Detroit, Precinct 73",4,1,0,3,0,1632200003073.0
"City of Detroit, Precinct 74",4,1,0,3,0,1632200003074.0
"City of Detroit, Precinct 75",14,3,0,11,0,1632200003075.0
"City of Detroit, Precinct 77",3,1,0,2,0,1632200003077.0
"City of Detroit, Precinct 78",3,1,0,2,0,1632200003078.0
"City of Detroit, Precinct 79",2,0,0,2,0,1632200003079.0
"City of Detroit, Precinct 80",4,0,1,3,0,1632200003080.0
"City of Detroit, Precinct 81",4,0,1,3,0,1632200003081.0
"City of Detroit, Precinct 82",4,0,0,4,0,1632200003082.0
"City of Detroit, Precinct 83",7,1,0,6,0,1632200003083.0
"City of Detroit, Precinct 84",7,0,0,6,0,1632200003084.0
"City of Detroit, Precinct 85",2,1,0,1,0,1632200003085.0
"City of Detroit, Precinct 86",9,3,0,4,0,1632200003086.0
"City of Detroit, Precinct 88",13,3,1,8,0,1632200003088.0
"City of Detroit, Precinct 89",9,6,0,3,0,1632200003089.0
"City of Detroit, Precinct 90",4,0,0,4,0,1632200003090.0
"City of Detroit, Precinct 91",10,9,1,0,0,1632200003091.0
"City of Detroit, Precinct 92",13,12,0,1,0,1632200003092.0
"City of Detroit, Precinct 93",4,2,0,1,0,1632200003093.0
"City of Detroit, Precinct 94",7,5,0,2,0,1632200003094.0
"City of Detroit, Precinct 95",8,8,0,0,0,1632200003095.0
"City of Detroit, Precinct 97",4,3,0,1,0,1632200003097.0
"City of Detroit, Precinct 98",21,19,0,2,0,1632200003098.0
"City of Detroit, Precinct 100",1,1,0,0,0,1632200003100.0
"City of Detroit, Precinct 101",5,0,2,3,0,1632200004101.0
"City of Detroit, Precinct 102",2,1,0,1,0,1632200003102.0
"City of Detroit, Precinct 103",3,0,0,1,0,1632200004103.0
"City of Detroit, Precinct 105",5,0,1,4,0,1632200004105.0
"City of Detroit, Precinct 107",1,0,0,1,0,1632200003107.0
"City of Detroit, Precinct 111",3,1,0,2,0,1632200004111.0
"City of Detroit, Precinct 112",9,6,0,3,0,1632200004112.0
"City of Detroit, Precinct 115",22,13,0,9,0,1632200004115.0
"City of Detroit, Precinct 116",10,6,1,3,0,1632200004116.0
"City of Detroit, Precinct 120",24,20,1,3,0,1632200005120.0
"City of Detroit, Precinct 121",6,3,0,3,0,1632200003121.0
"City of Detroit, Precinct 122",10,6,0,4,0,1632200005122.0
"City of Detroit, Precinct 123",10,8,0,2,0,1632200005123.0
"City of Detroit, Precinct 124",80,51,1,23,1,1632200005124.0
"City of Detroit, Precinct 125",28,16,0,12,0,1632200005125.0
"City of Detroit, Precinct 126",37,24,0,13,0,1632200005126.0
"City of Detroit, Precinct 128",7,4,0,3,0,1632200005128.0
"City of Detroit, Precinct 129",4,2,0,2,0,1632200005129.0
"City of Detroit, Precinct 130",5,2,0,3,0,1632200005130.0
"City of Detroit, Precinct 132",31,10,3,18,0,1632200005132.0
"City of Detroit, Precinct 133",29,19,0,10,0,1632200005133.0
"City of Detroit, Precinct 134",19,14,0,5,0,1632200005134.0
"City of Detroit, Precinct 135",13,5,0,7,0,1632200004135.0
"City of Detroit, Precinct 136",49,36,0,12,0,1632200005136.0
"City of Detroit, Precinct 137",5,3,0,2,0,1632200005137.0
"City of Detroit, Precinct 138",16,8,2,6,0,1632200005138.0
"City of Detroit, Precinct 139",12,5,0,6,0,1632200005139.0
"City of Detroit, Precinct 140",5,3,0,2,0,1632200005140.0
"City of Detroit, Precinct 143",26,11,0,10,0,1632200006143.0
"City of Detroit, Precinct 144",41,28,1,12,0,1632200006144.0
"City of Detroit, Precinct 145",20,16,0,4,0,1632200006145.0
"City of Detroit, Precinct 146",23,20,0,3,0,1632200006146.0
"City of Detroit, Precinct 147",18,13,0,5,0,1632200005147.0
"City of Detroit, Precinct 148",14,11,1,1,0,1632200006148.0
"City of Detroit, Precinct 150",19,14,0,5,0,1632200006150.0
"City of Detroit, Precinct 151",34,28,1,5,0,1632200006151.0
"City of Detroit, Precinct 156",6,1,1,4,0,1632200005156.0
"City of Detroit, Precinct 157",15,13,0,2,0,1632200006157.0
"City of Detroit, Precinct 158",32,17,1,14,0,1632200005158.0
"City of Detroit, Precinct 159",21,12,0,8,1,1632200005159.0
"City of Detroit, Precinct 161",39,24,3,12,0,1632200005161.0
"City of Detroit, Precinct 162",34,23,0,11,0,1632200005162.0
"City of Detroit, Precinct 164",4,4,0,0,0,1632200005164.0
"City of Detroit, Precinct 165",56,36,1,19,0,1632200005165.0
"City of Detroit, Precinct 166",1,0,0,1,0,1632200007166.0
"City of Detroit, Precinct 167",27,22,1,4,0,1632200005167.0
"City of Detroit, Precinct 168",30,11,0,19,0,1632200005168.0
"City of Detroit, Precinct 169",17,12,0,5,0,1632200005169.0
"City of Detroit, Precinct 172",8,5,0,3,0,1632200003172.0
"City of Detroit, Precinct 173",15,0,2,13,0,1632200003173.0
"City of Detroit, Precinct 174",1,0,0,1,0,1632200003174.0
"City of Detroit, Precinct 175",4,0,0,4,0,1632200003175.0
"City of Detroit, Precinct 176",8,1,0,7,0,1632200003176.0
"City of Detroit, Precinct 177",6,4,0,2,0,1632200003177.0
"City of Detroit, Precinct 178",8,1,0,7,0,1632200003178.0
"City of Detroit, Precinct 180",10,7,0,2,0,1632200003180.0
"City of Detroit, Precinct 182",14,6,0,7,1,1632200003182.0
"City of Detroit, Precinct 183",6,1,0,5,0,1632200003183.0
"City of Detroit, Precinct 184",17,1,0,14,0,1632200003184.0
"City of Detroit, Precinct 185",4,0,0,3,0,1632200003185.0
"City of Detroit, Precinct 188",1,0,1,0,0,1632200003188.0
"City of Detroit, Precinct 189",11,2,0,9,0,1632200003189.0
"City of Detroit, Precinct 190",4,1,0,3,0,1632200003190.0
"City of Detroit, Precinct 191",9,1,0,8,0,1632200003191.0
"City of Detroit, Precinct 192",7,2,0,5,0,1632200003192.0
"City of Detroit, Precinct 193",9,2,0,7,0,1632200003193.0
"City of Detroit, Precinct 194",15,3,1,9,0,1632200003194.0
"City of Detroit, Precinct 195",7,1,0,4,0,1632200003195.0
"City of Detroit, Precinct 197",2,2,0,0,0,1632200003197.0
"City of Detroit, Precinct 198",11,2,0,6,0,1632200003198.0
"City of Detroit, Precinct 199",1,0,0,1,0,1632200003199.0
"City of Detroit, Precinct 200",21,15,0,6,0,1632200002200.0
"City of Detroit, Precinct 201",67,34,2,25,0,1632200002201.0
"City of Detroit, Precinct 203",41,20,0,21,0,1632200002203.0
"City of Detroit, Precinct 204",24,10,0,11,1,1632200002204.0
"City of Detroit, Precinct 207",53,28,0,23,0,1632200002207.0
"City of Detroit, Precinct 208",44,26,0,18,0,1632200002208.0
"City of Detroit, Precinct 209",6,2,0,4,0,1632200002209.0
"City of Detroit, Precinct 210",20,9,1,10,0,1632200002210.0
"City of Detroit, Precinct 211",23,11,1,10,0,1632200002211.0
"City of Detroit, Precinct 212",6,0,0,5,0,1632200005212.0
"City of Detroit, Precinct 215",7,1,0,5,0,1632200005215.0
"City of Detroit, Precinct 216",0,0,0,0,0,1632200005216.0
"City of Detroit, Precinct 217",15,10,0,5,0,1632200005217.0
"City of Detroit, Precinct 218",2,0,0,2,0,1632200005218.0
"City of Detroit, Precinct 219",8,5,0,2,0,1632200005219.0
"City of Detroit, Precinct 220",2,1,0,1,0,1632200005220.0
"City of Detroit, Precinct 221",17,4,0,13,0,1632200002221.0
"City of Detroit, Precinct 222",15,4,0,11,0,1632200002222.0
"City of Detroit, Precinct 223",12,2,3,6,0,1632200002223.0
