name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"City of Detroit, Precinct 137",55,1,0,0,0,0,1632200005137.0
"City of Detroit, Precinct 138",122,1,5,1,0,0,1632200005138.0
"City of Detroit, Precinct 139",73,0,0,0,0,0,1632200005139.0
"City of Detroit, Precinct 140",89,1,0,3,0,0,1632200005140.0
"City of Detroit, Precinct 143",93,0,2,1,0,0,1632200006143.0
"City of Detroit, Precinct 144",218,1,4,2,0,0,1632200006144.0
"City of Detroit, Precinct 145",91,0,1,5,0,0,1632200006145.0
"City of Detroit, Precinct 146",194,0,3,3,0,0,1632200006146.0
"City of Detroit, Precinct 147",120,0,5,2,0,0,1632200005147.0
"City of Detroit, Precinct 148",100,1,0,1,0,0,1632200006148.0
"City of Detroit, Precinct 150",171,0,2,0,0,0,1632200006150.0
"City of Detroit, Precinct 151",240,0,6,0,0,0,1632200006151.0
"City of Detroit, Precinct 156",63,1,0,0,0,0,1632200005156.0
"City of Detroit, Precinct 157",158,0,6,1,0,0,1632200006157.0
"City of Detroit, Precinct 158",247,2,1,2,1,1,1632200005158.0
"City of Detroit, Precinct 159",139,2,0,2,0,0,1632200005159.0
"City of Detroit, Precinct 161",252,0,6,0,0,0,1632200005161.0
"City of Detroit, Precinct 162",209,0,1,2,0,0,1632200005162.0
"City of Detroit, Precinct 164",52,0,0,0,0,0,1632200005164.0
"City of Detroit, Precinct 165",223,0,3,1,0,0,1632200005165.0
"City of Detroit, Precinct 166",21,0,1,0,0,0,1632200007166.0
"City of Detroit, Precinct 167",248,0,0,1,0,0,1632200005167.0
"City of Detroit, Precinct 168",222,0,1,0,0,0,1632200005168.0
"City of Detroit, Precinct 169",182,0,2,0,0,0,1632200005169.0
"City of Detroit, Precinct 172",57,1,1,1,0,0,1632200003172.0
"City of Detroit, Precinct 173",81,1,3,0,0,0,1632200003173.0
"City of Detroit, Precinct 174",74,1,3,0,0,0,1632200003174.0
