name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Detroit, Precinct 88",82,48,29,0,1632200003088
"City of Detroit, Precinct 89",86,57,21,0,1632200003089
"City of Detroit, Precinct 90",48,22,19,0,1632200003090
"City of Detroit, Precinct 91",278,170,35,1,1632200003091
"City of Detroit, Precinct 92",235,145,61,3,1632200003092
"City of Detroit, Precinct 93",29,16,12,0,1632200003093
"City of Detroit, Precinct 94",152,89,45,2,1632200003094
"City of Detroit, Precinct 95",121,76,26,1,1632200003095
"City of Detroit, Precinct 97",48,28,18,0,1632200003097
"City of Detroit, Precinct 98",93,76,10,0,1632200003098
"City of Detroit, Precinct 100",21,14,6,0,1632200003100
"City of Detroit, Precinct 101",47,21,26,0,1632200004101
"City of Detroit, Precinct 102",43,15,21,0,1632200003102
"City of Detroit, Precinct 103",51,24,19,0,1632200004103
"City of Detroit, Precinct 105",76,34,39,0,1632200004105
"City of Detroit, Precinct 107",17,5,7,0,1632200003107
"City of Detroit, Precinct 111",53,24,22,3,1632200004111
"City of Detroit, Precinct 112",138,71,60,0,1632200004112
"City of Detroit, Precinct 115",194,106,72,1,1632200004115
"City of Detroit, Precinct 116",132,67,53,2,1632200004116
"City of Detroit, Precinct 120",222,136,71,2,1632200005120
"City of Detroit, Precinct 121",61,19,39,0,1632200003121
"City of Detroit, Precinct 122",37,20,13,0,1632200005122
"City of Detroit, Precinct 123",43,32,8,0,1632200005123
"City of Detroit, Precinct 124",555,380,125,7,1632200005124
"City of Detroit, Precinct 125",252,170,69,3,1632200005125
"City of Detroit, Precinct 126",220,133,68,0,1632200005126
"City of Detroit, Precinct 128",103,46,49,1,1632200005128
"City of Detroit, Precinct 129",110,73,29,2,1632200005129
"City of Detroit, Precinct 130",61,31,20,0,1632200005130
"City of Detroit, Precinct 132",150,83,52,4,1632200005132
"City of Detroit, Precinct 133",271,181,52,12,1632200005133
"City of Detroit, Precinct 134",236,181,31,6,1632200005134
"City of Detroit, Precinct 135",188,110,58,2,1632200004135
"City of Detroit, Precinct 136",335,221,104,2,1632200005136
"City of Detroit, Precinct 137",55,35,14,0,1632200005137
"City of Detroit, Precinct 138",122,63,38,0,1632200005138
"City of Detroit, Precinct 139",73,42,29,1,1632200005139
"City of Detroit, Precinct 140",89,57,27,0,1632200005140
"City of Detroit, Precinct 143",93,48,39,1,1632200006143
"City of Detroit, Precinct 144",218,167,35,2,1632200006144
"City of Detroit, Precinct 145",91,53,26,0,1632200006145
"City of Detroit, Precinct 146",194,134,40,2,1632200006146
"City of Detroit, Precinct 147",120,86,20,2,1632200005147
"City of Detroit, Precinct 148",100,85,12,0,1632200006148
"City of Detroit, Precinct 150",171,121,38,1,1632200006150
"City of Detroit, Precinct 151",240,153,70,2,1632200006151
"City of Detroit, Precinct 156",63,18,38,4,1632200005156
"City of Detroit, Precinct 157",158,91,48,4,1632200006157
"City of Detroit, Precinct 158",247,180,52,3,1632200005158
"City of Detroit, Precinct 159",139,92,28,3,1632200005159
"City of Detroit, Precinct 161",252,179,59,0,1632200005161
"City of Detroit, Precinct 162",209,147,54,1,1632200005162
"City of Detroit, Precinct 164",52,37,12,1,1632200005164
"City of Detroit, Precinct 165",223,167,47,2,1632200005165
"City of Detroit, Precinct 166",21,13,7,0,1632200007166
"City of Detroit, Precinct 167",248,181,53,4,1632200005167
"City of Detroit, Precinct 168",222,156,47,0,1632200005168
"City of Detroit, Precinct 169",182,131,44,1,1632200005169
"City of Detroit, Precinct 172",57,33,21,0,1632200003172
"City of Detroit, Precinct 173",81,43,32,0,1632200003173
"City of Detroit, Precinct 174",74,29,34,1,1632200003174
"City of Detroit, Precinct 175",31,23,7,0,1632200003175
"City of Detroit, Precinct 176",50,24,20,0,1632200003176
"City of Detroit, Precinct 177",84,48,31,0,1632200003177
"City of Detroit, Precinct 178",49,18,26,1,1632200003178
"City of Detroit, Precinct 180",80,38,38,2,1632200003180
"City of Detroit, Precinct 182",120,60,55,0,1632200003182
"City of Detroit, Precinct 183",51,19,31,1,1632200003183
"City of Detroit, Precinct 184",122,57,60,0,1632200003184
"City of Detroit, Precinct 185",90,46,36,2,1632200003185
"City of Detroit, Precinct 188",67,29,34,0,1632200003188
"City of Detroit, Precinct 189",65,34,27,0,1632200003189
"City of Detroit, Precinct 190",39,23,15,0,1632200003190
"City of Detroit, Precinct 191",79,51,24,1,1632200003191
"City of Detroit, Precinct 192",67,28,30,0,1632200003192
"City of Detroit, Precinct 193",42,16,21,1,1632200003193
"City of Detroit, Precinct 194",63,39,19,0,1632200003194
"City of Detroit, Precinct 195",103,54,40,0,1632200003195
"City of Detroit, Precinct 197",39,19,17,0,1632200003197
"City of Detroit, Precinct 198",108,82,19,1,1632200003198
"City of Detroit, Precinct 199",21,11,5,1,1632200003199
"City of Detroit, Precinct 200",124,67,41,1,1632200002200
"City of Detroit, Precinct 201",426,291,109,0,1632200002201
"City of Detroit, Precinct 203",274,203,55,1,1632200002203
"City of Detroit, Precinct 204",238,153,79,0,1632200002204
"City of Detroit, Precinct 207",252,182,55,1,1632200002207
"City of Detroit, Precinct 208",267,194,54,1,1632200002208
"City of Detroit, Precinct 209",40,20,18,0,1632200002209
"City of Detroit, Precinct 210",93,62,24,1,1632200002210
"City of Detroit, Precinct 211",178,115,52,2,1632200002211
"City of Detroit, Precinct 212",108,61,41,0,1632200005212
"City of Detroit, Precinct 215",59,27,28,0,1632200005215
"City of Detroit, Precinct 216",55,26,27,1,1632200005216
"City of Detroit, Precinct 217",131,65,57,1,1632200005217
"City of Detroit, Precinct 218",44,18,23,0,1632200005218
"City of Detroit, Precinct 219",55,32,21,0,1632200005219
"City of Detroit, Precinct 220",63,40,17,0,1632200005220
"City of Detroit, Precinct 221",231,141,81,1,1632200002221
"City of Detroit, Precinct 222",75,44,23,1,1632200002222
"City of Detroit, Precinct 238",116,76,36,1,1632200002238
"City of Detroit, Precinct 239",141,85,34,1,1632200002239
"City of Detroit, Precinct 259",122,83,34,0,1632200002259
"City of Detroit, Precinct 260",118,80,27,1,1632200002260
"City of Detroit, Precinct 360",2,0,2,0,1632200006360
"City of Detroit, Precinct 386",140,86,47,0,1632200002386
"City of Detroit, Precinct 387",72,48,18,1,1632200002387
"City of Detroit, Precinct 390",59,26,24,0,1632200002390
"City of Detroit, Precinct 396",89,49,35,0,1632200007396
"City of Detroit, Precinct 398",97,61,28,0,1632200007398
"City of Detroit, Precinct 399",60,38,19,0,1632200007399
"City of Detroit, Precinct 400",107,73,27,1,1632200007400
"City of Detroit, Precinct 402",52,28,23,0,1632200002402
"City of Detroit, Precinct 405",63,36,26,0,1632200007405
"City of Detroit, Precinct 409",82,48,28,1,1632200007409
"City of Detroit, Precinct 414",57,29,27,1,1632200007414
"City of Detroit, Precinct 415",74,30,35,0,1632200007415
"City of Detroit, Precinct 416",33,17,12,0,1632200006416
"City of Detroit, Precinct 417",28,11,17,0,1632200006417
"City of Detroit, Precinct 418",101,45,50,0,1632200006418
"City of Detroit, Precinct 419",82,48,30,1,1632200006419
"City of Detroit, Precinct 420",73,40,26,0,1632200006420
"City of Detroit, Precinct 421",17,13,4,0,1632200006421
"City of Detroit, Precinct 422",88,49,29,1,1632200006422
"City of Detroit, Precinct 423",76,55,17,0,1632200006423
"City of Detroit, Precinct 424",108,70,31,3,1632200006424
"City of Detroit, Precinct 425",140,102,21,1,1632200006425
"City of Detroit, Precinct 426",151,87,45,1,1632200005426
"City of Detroit, Precinct 428",139,93,44,0,1632200005428
"City of Detroit, Precinct 429",39,16,23,0,1632200005429
"City of Detroit, Precinct 430",87,44,41,0,1632200005430
"City of Detroit, Precinct 432",61,36,19,0,1632200005432
"City of Detroit, Precinct 433",71,49,20,1,1632200005433
"City of Detroit, Precinct 434",43,25,14,0,1632200005434
"City of Detroit, Precinct 435",35,20,13,0,1632200005435
"City of Detroit, Precinct 436",119,93,20,2,1632200005436
"City of Detroit, Precinct 437",79,47,28,0,1632200005437
"City of Detroit, Precinct 438",75,59,15,0,1632200005438
"City of Detroit, Precinct 439",82,56,24,0,1632200005439
"City of Detroit, Precinct 440",18,12,5,0,1632200005440
"City of Detroit, Precinct 441",61,45,15,0,1632200005441
"City of Detroit, Precinct 442",199,141,46,0,1632200005442
"City of Detroit, Precinct 443",4,2,2,0,1632200005443
"City of Detroit, Precinct 444",0,0,0,0,1632200006444
"City of Detroit, Precinct 446",49,27,18,1,1632200005446
"City of Detroit, Precinct 447",114,65,46,0,1632200005447
"City of Detroit, Precinct 448",49,29,17,0,1632200005448
"City of Detroit, Precinct 449",80,48,23,1,1632200005449
"City of Detroit, Precinct 450",1,0,1,0,1632200005450
"City of Detroit, Precinct 452",49,19,21,0,1632200005452
"City of Detroit, Precinct 453",71,40,25,0,1632200006453
"City of Detroit, Precinct 457",33,24,7,0,1632200006457
"City of Detroit, Precinct 458",62,36,24,0,1632200006458
"City of Detroit, Precinct 460",101,61,25,0,1632200006460
"City of Detroit, Precinct 461",269,202,49,1,1632200006461
"City of Detroit, Precinct 462",179,127,44,0,1632200006462
"City of Detroit, Precinct 464",277,230,33,3,1632200006464
"City of Detroit, Precinct 466",120,71,38,2,1632200006466
"City of Detroit, Precinct 470",138,100,22,0,1632200006470
"City of Detroit, Precinct 471",123,99,13,0,1632200006471
"City of Detroit, Precinct 472",117,71,27,1,1632200006472
"City of Detroit, Precinct 473",168,112,33,1,1632200006473
"City of Detroit, Precinct 474",47,23,11,2,1632200006474
"City of Detroit, Precinct 475",137,106,22,1,1632200006475
"City of Detroit, Precinct 477",194,119,40,0,1632200006477
"City of Detroit, Precinct 479",56,35,17,0,1632200006479
"City of Detroit, Precinct 480",103,81,10,0,1632200006480
"City of Detroit, Precinct 481",164,125,24,1,1632200006481
"City of Detroit, Precinct 482",115,57,49,1,1632200006482
"City of Detroit, Precinct 483",153,82,58,0,1632200006483
"City of Detroit, Precinct 484",105,52,46,0,1632200006484
"City of Detroit, Precinct 485",140,75,59,3,1632200006485
"City of Detroit, Precinct 490",5,4,0,0,1632200002490
"City of Detroit, Precinct 491",55,23,23,0,1632200004491
"City of Detroit, Precinct 493",48,21,23,0,1632200005493
"City of Detroit, Precinct 496",129,73,46,1,1632200005496
"City of Detroit, Precinct 497",65,38,24,0,1632200005497
"City of Detroit, Precinct 500",130,105,14,0,1632200006500
"City of Detroit, Precinct 502",56,23,24,0,1632200004502
"City of Ecorse, Precinct 1",107,35,35,2,1632474000001
"City of Ecorse, Precinct 2",202,89,91,0,1632474000002
"City of Ecorse, Precinct 3",92,24,39,1,1632474000003
"City of Ecorse, Precinct 4",180,74,91,4,1632474000004
"City of Grosse Pointe, Precinct 1",292,134,69,1,1633548000001
"City of Grosse Pointe, Precinct 2",401,163,98,1,1633548000002
"City of Grosse Pointe Farms, Precinct 1",643,254,156,2,1633552000001
"City of Grosse Pointe Farms, Precinct 2",659,253,164,1,1633552000002
"City of Grosse Pointe Park, Precinct 1",265,144,62,1,1633554000001
"City of Grosse Pointe Park, Precinct 2",259,109,68,3,1633554000002
"City of Grosse Pointe Park, Precinct 4",212,103,59,0,1633554000004
"City of Grosse Pointe Park, Precinct 5",331,208,65,0,1633554000005
"City of Grosse Pointe Park, Precinct 6",260,145,63,1,1633554000006
"City of Grosse Pointe Park, Precinct 7",278,141,69,0,1633554000007
"The Village of Grosse Pointe Shores, a Michigan City, Precinct 1",298,74,71,1,1638245300001
"City of Grosse Pointe Woods, Precinct 1",656,283,141,5,1633558000001
"City of Grosse Pointe Woods, Precinct 2",572,246,125,5,1633558000002
"City of Grosse Pointe Woods, Precinct 3",669,317,137,6,1633558000003
"City of Hamtramck, Precinct 1",155,95,41,1,1633628000001
"City of Hamtramck, Precinct 2",439,284,96,2,1633628000002
"City of Hamtramck, Precinct 3",380,258,65,2,1633628000003
"City of Hamtramck, Precinct 4",283,179,46,5,1633628000004
"City of Hamtramck, Precinct 5",264,159,52,1,1633628000005
"City of Harper Woods, Precinct 1",390,182,154,3,1633670000001
"City of Harper Woods, Precinct 2",487,226,171,4,1633670000002
"City of Harper Woods, Precinct 3",601,324,175,5,1633670000003
"City of Highland Park, Precinct 1",152,70,63,2,1633818000001
"City of Highland Park, Precinct 2",166,93,62,1,1633818000002
"City of Highland Park, Precinct 3",162,82,63,1,1633818000003
"City of Highland Park, Precinct 4",106,54,41,0,1633818000004
"City of Highland Park, Precinct 5",84,39,43,0,1633818000005
"City of Highland Park, Precinct 6",119,51,62,0,1633818000006
"City of Lincoln Park, Precinct 1",301,143,73,1,1634780000001
"City of Lincoln Park, Precinct 3",271,123,74,1,1634780000003
"City of Lincoln Park, Precinct 5",410,194,82,1,1634780000005
"City of Lincoln Park, Precinct 7",339,142,67,1,1634780000007
"City of Lincoln Park, Precinct 9",259,112,50,0,1634780000009
"City of Lincoln Park, Precinct 11",337,144,85,1,1634780000011
"City of Melvindale, Precinct 1",162,79,34,1,1635294000001
"City of Melvindale, Precinct 2",163,79,26,5,1635294000002
"City of Melvindale, Precinct 3",147,74,36,2,1635294000003
"City of Melvindale, Precinct 4",131,62,33,2,1635294000004
"City of Melvindale, Precinct 5",161,67,44,5,1635294000005
"City of River Rouge, Precinct 1",88,36,27,1,1636876000001
"City of River Rouge, Precinct 2",67,23,25,0,1636876000002
"City of River Rouge, Precinct 3",74,28,22,0,1636876000003
"City of River Rouge, Precinct 4",123,64,47,0,1636876000004
"City of River Rouge, Precinct 5",79,33,36,0,1636876000005
"City of Romulus, Precinct 1",195,55,65,1,1636942000001
"City of Romulus, Precinct 2",358,162,126,1,1636942000002
"City of Romulus, Precinct 3",177,41,30,0,1636942000003
"City of Romulus, Precinct 4",172,53,69,3,1636942000004
"City of Romulus, Precinct 5",198,96,54,0,1636942000005
"City of Romulus, Precinct 6",118,37,45,4,1636942000006
"City of Romulus, Precinct 7",175,100,42,4,1636942000007
"City of Romulus, Precinct 8",330,157,128,1,1636942000008
"City of Romulus, Precinct 9",123,43,37,0,1636942000009
"City of Romulus, Precinct 10",153,67,51,6,1636942000010
"City of Southgate, Precinct 1",453,170,95,2,1637496000001
"City of Southgate, Precinct 2",464,185,123,4,1637496000002
"City of Southgate, Precinct 3",534,197,134,3,1637496000003
"City of Southgate, Precinct 4",443,151,116,3,1637496000004
"City of Southgate, Precinct 5",558,185,127,2,1637496000005
"City of Taylor, Precinct 1",277,88,56,4,1637900000001
"City of Taylor, Precinct 2",190,72,30,0,1637900000002
"City of Taylor, Precinct 3",252,91,75,1,1637900000003
"City of Taylor, Precinct 4",284,79,67,0,1637900000004
"City of Taylor, Precinct 5",280,87,69,3,1637900000005
"City of Taylor, Precinct 6",244,100,53,3,1637900000006
"City of Taylor, Precinct 7",265,96,54,0,1637900000007
"City of Taylor, Precinct 8",345,111,77,2,1637900000008
"City of Taylor, Precinct 9",227,93,45,3,1637900000009
"City of Taylor, Precinct 10",285,108,74,0,1637900000010
"City of Taylor, Precinct 11",235,86,58,1,1637900000011
"City of Taylor, Precinct 12",272,87,60,2,1637900000012
"City of Taylor, Precinct 13",279,103,69,1,1637900000013
"City of Taylor, Precinct 14",173,71,41,1,1637900000014
"City of Taylor, Precinct 15",197,76,47,1,1637900000015
"City of Wayne, Precinct 1",427,133,99,32,1638494000001
"City of Wayne, Precinct 2",413,158,97,32,1638494000002
"City of Wayne, Precinct 3",540,213,119,52,1638494000003
"City of Wyandotte, Precinct 1",450,191,93,4,1638890000001
"City of Wyandotte, Precinct 2",588,238,136,2,1638890000002
"City of Wyandotte, Precinct 3",422,157,91,0,1638890000003
"City of Wyandotte, Precinct 4",551,235,87,1,1638890000004
"City of Wyandotte, Precinct 5",432,158,82,2,1638890000005
