name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Romulus, Precinct 2",522,130,262,0,1636942000002
"City of Romulus, Precinct 3",249,39,94,0,1636942000003
"City of Romulus, Precinct 4",318,76,144,3,1636942000004
"City of Romulus, Precinct 5",346,77,176,1,1636942000005
"City of Romulus, Precinct 6",85,22,39,0,1636942000006
"City of Romulus, Precinct 7",316,110,143,4,1636942000007
"City of Romulus, Precinct 8",561,204,281,2,1636942000008
"City of Romulus, Precinct 9",183,47,83,1,1636942000009
"City of Southgate, Precinct 1",763,160,365,0,1637496000001
"City of Southgate, Precinct 2",810,174,360,1,1637496000002
"City of Southgate, Precinct 3",853,210,351,3,1637496000003
"City of Southgate, Precinct 4",732,156,342,1,1637496000004
"City of Southgate, Precinct 5",1022,216,438,2,1637496000005
"City of Taylor, Precinct 1",392,94,140,1,1637900000001
"City of Taylor, Precinct 10",614,158,243,2,1637900000010
"City of Taylor, Precinct 11",313,83,90,0,1637900000011
"City of Taylor, Precinct 12",562,123,216,2,1637900000012
"City of Taylor, Precinct 13",616,121,278,0,1637900000013
"City of Taylor, Precinct 14",356,80,149,0,1637900000014
"City of Taylor, Precinct 15",444,79,207,0,1637900000015
"City of Taylor, Precinct 2",180,40,63,2,1637900000002
"City of Taylor, Precinct 3",381,79,176,1,1637900000003
"City of Taylor, Precinct 4",485,124,177,3,1637900000004
"City of Taylor, Precinct 5",769,160,291,1,1637900000005
"City of Taylor, Precinct 6",406,105,187,5,1637900000006
"City of Taylor, Precinct 7",458,104,172,2,1637900000007
"City of Taylor, Precinct 8",472,109,183,0,1637900000008
"City of Taylor, Precinct 9",483,110,186,2,1637900000009
"City of Wayne, Precinct 1",558,146,236,14,1638494000001
"City of Wayne, Precinct 2",665,162,284,24,1638494000002
"City of Wayne, Precinct 3",833,223,312,27,1638494000003
"City of Wyandotte, Precinct 1",683,169,260,3,1638890000001
"City of Wyandotte, Precinct 2",909,269,329,5,1638890000002
"City of Wyandotte, Precinct 3",812,236,331,0,1638890000003
"City of Wyandotte, Precinct 4",1101,345,390,1,1638890000004
"City of Wyandotte, Precinct 5",532,146,216,0,1638890000005
"The Village of Grosse Pointe Shores, a Michigan City, Precinct 1",655,116,176,1,1638245300001
