name,ballots,James D. Hooper,Write-in,id
"City of Detroit, Precinct 249",214,5,0,1632200002249
"City of Detroit, Precinct 250",263,5,0,1632200002250
"City of Detroit, Precinct 251",172,5,0,1632200002251
"City of Detroit, Precinct 252",200,4,0,1632200002252
"City of Detroit, Precinct 253",203,4,0,1632200002253
"City of Detroit, Precinct 254",321,8,1,1632200002254
"City of Detroit, Precinct 256",262,2,0,1632200002256
"City of Detroit, Precinct 257",562,8,1,1632200002257
"City of Detroit, Precinct 258",386,4,0,1632200002258
"City of Detroit, Precinct 261",493,21,1,1632200001261
"City of Detroit, Precinct 263",648,13,0,1632200001263
"City of Detroit, Precinct 264",333,8,0,1632200001264
"City of Detroit, Precinct 265",285,5,0,1632200001265
"City of Detroit, Precinct 266",27,0,0,1632200001266
"City of Detroit, Precinct 267",161,1,0,1632200001267
"City of Detroit, Precinct 268",139,2,0,1632200001268
"City of Detroit, Precinct 269",187,6,0,1632200001269
"City of Detroit, Precinct 271",532,8,1,1632200001271
"City of Detroit, Precinct 272",52,0,0,1632200001272
"City of Detroit, Precinct 273",131,3,0,1632200001273
"City of Detroit, Precinct 275",343,7,0,1632200001275
"City of Detroit, Precinct 276",338,4,0,1632200001276
"City of Detroit, Precinct 278",310,3,1,1632200001278
"City of Detroit, Precinct 279",631,10,0,1632200001279
"City of Detroit, Precinct 280",136,4,0,1632200001280
"City of Detroit, Precinct 281",466,5,1,1632200001281
"City of Detroit, Precinct 282",450,4,0,1632200001282
"City of Detroit, Precinct 283",430,6,0,1632200001283
"City of Detroit, Precinct 285",375,8,0,1632200001285
"City of Detroit, Precinct 286",320,4,0,1632200001286
"City of Detroit, Precinct 287",227,8,0,1632200001287
"City of Detroit, Precinct 288",219,3,0,1632200002288
"City of Detroit, Precinct 289",164,4,0,1632200002289
"City of Detroit, Precinct 290",133,3,1,1632200002290
"City of Detroit, Precinct 291",339,8,0,1632200002291
"City of Detroit, Precinct 292",243,0,0,1632200002292
"City of Detroit, Precinct 293",164,0,0,1632200002293
"City of Detroit, Precinct 294",283,4,0,1632200002294
"City of Detroit, Precinct 295",418,2,0,1632200002295
"City of Detroit, Precinct 296",275,2,0,1632200002296
