name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Detroit, Precinct 223",202,158,14,1,1632200002223.0
"City of Detroit, Precinct 224",344,299,10,0,1632200002224.0
"City of Detroit, Precinct 225",271,231,21,0,1632200002225.0
"City of Detroit, Precinct 226",198,161,7,2,1632200002226.0
"City of Detroit, Precinct 227",147,128,8,0,1632200002227.0
"City of Detroit, Precinct 228",332,280,19,2,1632200002228.0
"City of Detroit, Precinct 229",257,223,8,0,1632200002229.0
"City of Detroit, Precinct 23",319,259,16,0,1632200004023.0
"City of Detroit, Precinct 230",311,258,17,1,1632200002230.0
"City of Detroit, Precinct 231",216,196,9,0,1632200002231.0
"City of Detroit, Precinct 232",304,265,14,2,1632200002232.0
"City of Detroit, Precinct 233",349,292,18,1,1632200002233.0
"City of Detroit, Precinct 234",182,162,7,0,1632200002234.0
"City of Detroit, Precinct 236",327,301,4,0,1632200002236.0
"City of Detroit, Precinct 238",144,127,8,0,1632200002238.0
"City of Detroit, Precinct 239",154,134,8,0,1632200002239.0
"City of Detroit, Precinct 240",202,176,13,0,1632200002240.0
"City of Detroit, Precinct 241",145,113,10,2,1632200002241.0
"City of Detroit, Precinct 242",176,139,8,1,1632200002242.0
"City of Detroit, Precinct 243",105,83,13,0,1632200002243.0
"City of Detroit, Precinct 244",288,249,11,1,1632200002244.0
"City of Detroit, Precinct 246",128,114,6,1,1632200002246.0
"City of Detroit, Precinct 247",238,199,9,0,1632200002247.0
"City of Detroit, Precinct 248",110,93,7,1,1632200002248.0
"City of Detroit, Precinct 249",143,120,6,1,1632200002249.0
"City of Detroit, Precinct 25",100,87,3,0,1632200004025.0
"City of Detroit, Precinct 250",151,115,11,0,1632200002250.0
"City of Detroit, Precinct 251",113,95,4,0,1632200002251.0
"City of Detroit, Precinct 252",147,117,17,0,1632200002252.0
"City of Detroit, Precinct 253",126,111,6,0,1632200002253.0
"City of Detroit, Precinct 254",221,181,13,1,1632200002254.0
"City of Detroit, Precinct 256",141,125,4,0,1632200002256.0
"City of Detroit, Precinct 257",386,328,23,0,1632200002257.0
"City of Detroit, Precinct 258",225,190,16,1,1632200002258.0
"City of Detroit, Precinct 259",175,144,17,0,1632200002259.0
"City of Detroit, Precinct 26",66,58,1,0,1632200004026.0
"City of Detroit, Precinct 260",174,153,8,0,1632200002260.0
"City of Detroit, Precinct 261",313,247,28,0,1632200001261.0
"City of Detroit, Precinct 263",468,407,14,2,1632200001263.0
"City of Detroit, Precinct 264",209,163,21,0,1632200001264.0
"City of Detroit, Precinct 265",204,160,9,0,1632200001265.0
"City of Detroit, Precinct 266",21,17,0,0,1632200001266.0
"City of Detroit, Precinct 267",112,95,5,0,1632200001267.0
"City of Detroit, Precinct 268",87,72,7,0,1632200001268.0
"City of Detroit, Precinct 269",124,103,3,0,1632200001269.0
"City of Detroit, Precinct 27",147,117,6,1,1632200004027.0
"City of Detroit, Precinct 271",342,297,14,0,1632200001271.0
"City of Detroit, Precinct 272",32,27,4,0,1632200001272.0
